row_index,active,max_z,auc,mean_over_baseline,prominence,n_peaks
0,1,3.0590509346829724,23.0816503826,0.9966456119,5.517887442,7.0
1,0,1.9506185754507253,9.6378647145,0.42176113224999995,1.6090896559999999,7.0
2,0,2.3042624254413426,8.095863339,0.35332752862499994,2.633004304,9.0
3,0,1.3947574777620129,7.001758989,0.30987344266666667,1.414007637,6.0
4,1,2.5715463930883313,16.117114508,0.70907219425,2.538319759,8.0
5,0,1.33710696978218,39.049464139499996,1.676722832708333,4.208407596000001,8.0
6,0,1.7240439773099665,20.0614456485,0.8695581919166663,1.274572725,8.0
7,0,2.048971442050981,-1.2491125950000002,-0.06417200854166669,1.478452591,7.0
8,0,2.342879320448688,51.417319016,2.263915967375,5.126607002,6.0
9,0,2.2330308137741355,-3.5520382665,-0.15795780437499995,2.782213216,5.0
10,0,2.1777547423883687,27.049014912500002,1.1723352845416668,2.141026656,8.0
11,1,3.362566400297068,5.504883713999999,0.22937015475,2.026010471,5.0
12,0,2.0665349230758006,30.050607439999997,1.2908705170416666,2.231934954,6.0
13,0,2.2308077594169036,13.8984684695,0.60562855575,2.167950388,8.0
14,0,1.9442735667485138,16.4000723075,0.6839479580833333,2.09722548,6.0
15,0,0.0,0.0,0.0,0.0,0.0
16,0,2.2424340381767314,14.514311853499997,0.6510939538749999,3.01041302,7.0
17,1,3.0758725181801663,14.0166098685,0.5770069709583334,3.916035419,6.0
18,0,2.164479740005355,2.249030965,0.10512210245833335,2.686383594,7.0
19,0,2.2922111590214005,14.3337470395,0.6124493269166665,2.4013835049999996,9.0
20,1,2.7270922545077254,4.396333761999999,0.1831805734166667,1.080194823,6.0
21,1,2.5523822504950853,10.1432587595,0.4672934631666667,2.378938012,4.0
22,0,1.7886412802716454,12.899959033000002,0.5374982930416666,1.535649185,6.0
23,0,1.9544462969730372,18.025371073000002,0.7522906748333332,3.3499706980000004,4.0
24,0,2.2447514992244084,11.004568855,0.49466331012500003,2.031172857,7.0
25,1,3.232815254593914,-0.5980276269999997,-0.04238122174999998,2.450649077,9.0
26,1,2.8005441071395847,5.835379778500001,0.24205317212500002,1.932399108,7.0
27,0,2.3221716029387336,6.303480442500001,0.2645129396666667,1.75407198,6.0
28,1,2.680063339924025,-2.4624098715000002,-0.08454126437500002,1.714708026,6.0
29,1,2.765407822683238,1.7990308270000006,0.07495961779166668,2.347549385,7.0
30,0,2.3811831147033935,3.4684859785000004,0.1429028382083333,1.578290222,8.0
31,0,2.4841636704963426,9.6657193625,0.40901944291666686,2.002964356,7.0
32,1,2.594976071928124,5.5719328820000005,0.24802696587500006,1.398343221,8.0
33,1,2.7190887610224244,107.6867500025,4.6494194992499995,18.161908041,3.0
34,0,2.2762257801831796,11.469474349,0.4972064409166666,1.631232986,4.0
35,1,2.665105508821785,-21.60417587,-0.9172858510833334,0.749512069,4.0
36,1,2.665105508821785,-21.60417587,-0.9172858510833334,0.749512069,4.0
37,1,2.665105508821785,-21.60417587,-0.9172858510833334,0.749512069,4.0
38,0,1.7376695727866904,-12.614652441999995,-0.5374058752499998,0.996889832,6.0
