row_index,active,max_z,max_run_sec,auc,mean_over_baseline,prominence,n_peaks
0,1,2.5142436492130713,8.0,280.3996488886,4.704724356146449,7.988326040000002,16.0
1,1,2.452884608284216,5.0,92.3305423225,1.5488944279836065,2.178561263,21.0
2,1,2.5068025628487374,7.0,95.90253365499998,1.6045462237677592,2.6330043040000004,22.0
3,0,3.1709513881679405,3.0,50.4344815325,0.8394356185027324,2.9768683730000003,14.0
4,0,2.590909197515523,4.0,31.982596916,0.5441943853934427,2.56186548,21.0
5,0,2.157405259896726,4.0,140.42589838499998,2.3379693044918035,4.367325442,19.0
6,1,2.2539816855883528,7.0,117.54176913650001,1.9672885403114757,1.820249172,18.0
7,0,2.4148695830617046,3.0,1.1475292330000026,0.015817244860655794,1.682915027,15.0
8,1,2.0155472334160227,6.0,162.2580907725,2.717221447153006,5.126607002,17.0
9,1,2.995193917479608,6.0,48.76116818850001,0.8222501868142076,3.1158279719999995,18.0
10,1,2.3836919904520664,11.0,140.75323767950005,2.39541634215847,2.1410266559999998,17.0
11,0,3.906842153561275,2.0,10.264611953500006,0.1853125188497269,2.026010471,14.0
12,1,2.1000683313959603,9.0,143.358380417,2.3932958411311476,2.231934954,17.0
13,0,2.1744350674331554,4.0,27.8024237595,0.4681018848142076,2.267737265,20.0
14,0,2.497535869762789,2.0,31.764253408000002,0.5390970850601093,2.570857762,18.0
15,1,3.212041702041416,6.0,42.5448620655,0.7658840366284153,4.266564205,8.0
16,1,3.5924406589831803,5.0,17.5547222105,0.3183890003169399,3.01041302,19.0
17,0,3.5858744711924024,3.0,21.45749207099999,0.34562397160655745,3.916035419,18.0
18,1,2.44903651847175,7.0,35.59673660200001,0.5770501063934428,3.482213443,18.0
19,0,2.4382222498025765,2.0,52.35246457599999,0.8624384897540983,3.494821036,20.0
20,0,4.620403378204134,3.0,-36.0443785105,-0.5993879477759566,2.598818532,14.0
21,0,2.869731074692979,2.0,-5.929742996999998,-0.08385566193989072,2.378938012,12.0
22,0,2.5707814007171486,2.0,-9.740821821499997,-0.16505412699726785,1.897326966,16.0
23,1,2.572981096330789,7.0,63.1379392475,1.0455756608661204,4.472427785,12.0
24,0,2.763536541887982,3.0,13.847775782000001,0.23197140367213112,2.031172857,16.0
25,0,2.894363777636956,3.0,-0.7016570275000018,-0.014595339445355194,2.450649077,21.0
26,0,2.8534102673921935,2.0,10.0532639375,0.17462843960655736,1.964475055,18.0
27,0,2.48080090808385,2.0,11.319934752,0.19312012216666674,2.12704451,18.0
28,0,3.082933734446426,2.0,19.593944023,0.32116931464754084,2.181091255,18.0
29,0,3.094964132728018,4.0,16.8030444195,0.27291585425956283,2.711650615,20.0
30,0,2.782467872524852,2.0,13.133364802000003,0.2121322534153005,1.9856856,21.0
31,0,2.400023322334081,4.0,23.069746478500008,0.3821085613333333,2.276329966,20.0
32,0,3.0869232065960084,3.0,-39.50413110149999,-0.6333936524672132,1.766448022,21.0
33,1,2.8625087690873774,5.0,424.3178559175001,6.957187995218579,35.302126934,12.0
34,0,2.877590569565531,4.0,21.320715900499994,0.35744059318852467,2.104279623,11.0
35,0,3.7378659059831825,2.0,2.401497069500003,0.03837753292076508,2.422350155,18.0
36,0,3.7378659059831825,2.0,2.401497069500003,0.03837753292076508,2.422350155,18.0
37,0,3.7378659059831825,2.0,2.401497069500003,0.03837753292076508,2.422350155,18.0
38,1,3.132391208336152,5.0,22.284496777999998,0.3673514862049181,1.950646329,17.0
39,0,2.8814374301905374,3.0,12.412009508000002,0.21545967859289616,1.965704269,20.0
40,0,2.128821981541982,3.0,17.45856085800001,0.29196209171311477,2.321261352,20.0
41,0,2.49647477414079,2.0,7.8829711410000005,0.1413649484207651,2.036632713,18.0
42,0,3.1946737848568567,2.0,5.2462987320000005,0.08040610863114753,2.17635915,19.0
43,0,3.413123969158195,2.0,-37.38913953799999,-0.6033585716584698,1.793068999,19.0
44,1,2.188140936410843,15.0,348.624615845,5.835274378483608,11.735889140000001,18.0
45,0,3.556618736661266,2.0,8.736553497000001,0.14168711053551913,2.128137005,19.0
46,0,2.7342920720648314,2.0,4.369335836000003,0.08157419793715855,2.26460449,17.0
47,0,3.268640473171583,2.0,7.475000473,0.1355994538606557,2.5269737570000004,18.0
48,0,2.830773961555092,3.0,10.852529749499995,0.17427215665573767,2.8670906279999997,21.0
49,0,3.5453100083369056,2.0,-20.397560779000006,-0.3380565030273225,1.97632784,16.0
50,0,3.027267875154767,2.0,3.985782150000001,0.062475128426229536,1.577575215,17.0
51,0,2.8415855433449795,2.0,-2.4309160500000004,-0.0257377167021858,2.189518865,16.0
52,0,2.312618395554806,2.0,21.067900234499994,0.3507610280382514,1.589032478,21.0
53,0,2.699232178592613,3.0,7.9530493045,0.1423626658251366,2.602021203,15.0
54,0,3.1157400660447783,2.0,23.192789189000003,0.37737752892622944,2.709511292,22.0
55,0,3.2109943048210603,2.0,-11.105434529999997,-0.18960168778415287,2.278320387,16.0
56,0,3.132904515909462,1.0,5.156576776499999,0.08479852245628419,1.840563318,19.0
57,0,2.207921728996117,4.0,-1.722643463000006,-0.014558546726776075,1.969674425,18.0
58,0,3.0674414216768873,2.0,21.563253402,0.35227570505737704,2.595106075,22.0
59,0,2.9914012084385093,1.0,-7.2980899640000025,-0.12755329751639355,1.855038439,19.0
60,0,3.6866195710482557,4.0,-45.984368055500035,-0.7640436026775963,1.184930973,7.0
61,0,2.8853339190174974,1.0,-11.654518003999996,-0.19400130721857922,1.7158547350000002,19.0
62,0,2.4661750332746455,2.0,7.876028166000002,0.13160236014754104,2.145053283,18.0
63,0,5.311565016133073,2.0,-5.6892919530000015,-0.08836774768579238,2.114102672,9.0
64,1,3.4743092924546857,7.0,18.850434233,0.30902351201639344,2.487099362,4.0
65,1,4.169298188077962,6.0,-41.15918925750003,-0.6781073340683066,0.518336197,3.0
66,0,2.01423158828849,3.0,25.797403141,0.4217605642923498,1.698290213,20.0
67,1,1.143518991815824,9.0,93.93968027700001,1.5595617080983606,1.2222606230000002,12.0
68,0,3.610448044766439,1.0,3.5170805099999995,0.054500914825136595,2.084203073,22.0
69,0,2.4141737275544175,3.0,13.888746947999994,0.22501438427595633,1.658291558,19.0
70,0,4.554992975839035,2.0,3.096509834500003,0.054972224519125736,3.116892449,18.0
71,0,2.834752352679564,3.0,16.989918054999993,0.27192022381693987,2.961776326,19.0
72,1,2.4026737827687503,9.0,90.6270149925,1.529659986101093,5.982223656,11.0
73,0,2.6866781967361177,2.0,3.732751315500002,0.05842558480874322,1.886056287,17.0
74,0,3.017989714688427,3.0,17.239618294000003,0.2799716212076503,2.283694388,18.0
75,0,2.6412900152636904,2.0,16.837330456500002,0.2767329630355191,2.263788765,20.0
76,0,3.438250437013568,1.0,-5.849994903499999,-0.0924169548032786,2.142224129,20.0
77,0,3.018144930160219,2.0,4.1976909985,0.06772811228142077,1.955743109,14.0
78,0,3.3029073346572213,3.0,17.746348549499995,0.29414427381967206,2.910147321,16.0
79,0,3.677443334615174,2.0,4.8573344511,0.07568784323661207,2.09939032,18.0
80,0,2.699298525162153,3.0,2.34840618,0.032960358423497295,1.642849304,18.0
81,0,3.0284465587600202,2.0,14.924260376499998,0.2447492140519126,2.221893521,19.0
82,0,3.055324106338527,2.0,18.689832939000006,0.3125346433879781,2.534476754,21.0
83,0,3.1355858626266326,3.0,32.36884308399999,0.5447671234562842,3.023032782,18.0
84,0,4.380129786486578,2.0,-32.346698951000015,-0.5316208285300549,1.994962048,6.0
85,1,2.0984126258057887,7.0,40.31200216600001,0.6684948490983608,1.716546252,18.0
86,0,4.071818708794043,2.0,1.1109929179999987,0.008950613106557344,3.587626473,21.0
87,0,2.803967098212914,2.0,9.089130804,0.1552277073306011,2.343312783,21.0
88,0,4.337513845057469,2.0,-11.443129754500006,-0.19308209870765028,2.946236718,20.0
89,0,2.807137870706366,2.0,13.063445698999999,0.2185116966666665,1.762483343,19.0
90,0,4.266793495509475,3.0,1.8250687535000008,0.034785305150273234,2.533978949,15.0
91,0,3.4839975344134637,2.0,0.2681390339999963,0.0005580834262294649,1.842160834,21.0
92,0,3.206493397661297,3.0,0.2803798075000037,-0.001095917601092839,2.19708827,21.0
93,0,3.7134730358216426,2.0,0.9962963559999989,0.008348208792349692,3.04412822,17.0
94,0,2.992537483763203,3.0,-2.6644555464999926,-0.025869189948087346,2.945866969,17.0
95,0,3.465927369328083,2.0,-0.8839477934999975,-0.01052380554098357,2.688749787,16.0
96,0,2.5620787781275456,2.0,-7.828953904999993,-0.13150158436612014,1.7636859130000002,20.0
97,0,3.160910079214225,2.0,-5.7244435535000004,-0.08522640554918035,2.112952725,18.0
98,0,3.634682175079597,1.0,-23.734048170999987,-0.3903573935300549,2.43318013,15.0
99,0,3.4577224636484294,2.0,-5.819212312999997,-0.09767251571584695,1.84927246,16.0
100,0,2.7420290756703727,1.0,-3.4345214861400004,-0.0631966655296175,1.737506983,18.0
101,0,2.402130348735463,1.0,-8.534078277999999,-0.14745829111475411,1.482143973,18.0
102,0,4.965328568740542,2.0,4.229630167000002,0.06594089099726777,2.251047033,20.0
103,0,3.3702230722274966,2.0,7.920275228500001,0.1385710263251366,2.407279478,19.0
104,0,3.279256888191139,3.0,-3.4217872605000017,-0.05541856478415306,2.008976591,17.0
105,0,3.0123782334465954,3.0,25.449277065499995,0.42228070458469935,2.04997124,21.0
106,0,3.698066875197306,3.0,6.929332838500004,0.11393297024043722,2.328427646,18.0
107,0,2.7679548618269276,3.0,39.30323832399999,0.6417570815054646,2.902642126,19.0
108,0,3.297127142206513,2.0,-11.325679327500008,-0.18790608068306028,2.706727163,19.0
109,0,3.891107122936864,2.0,17.859972066499996,0.30234544574043737,2.433867079,15.0
110,0,2.6941479010396674,2.0,-2.356857278999995,-0.041225104887978085,1.96977218,19.0
111,0,3.3166920211685227,2.0,12.826094439499997,0.21260167303278688,2.162836601,19.0
112,0,2.699658197823028,3.0,2.955441463500004,0.04295983961475417,2.110067622,18.0
113,0,3.361014380295184,3.0,3.214841423500001,0.05900742491530059,1.662821954,15.0
114,0,2.6122548686711355,2.0,4.344434319000001,0.0684334747622951,1.530761438,16.0
115,0,3.823443303648748,2.0,-1.9220152909999997,-0.037916895672131135,2.28739605,19.0
116,0,2.7229824854463405,3.0,-23.441721171500003,-0.38849799124863393,2.223701621,17.0
117,1,4.344789796167997,5.0,-44.081043762999975,-0.7386462238879776,2.394691776,8.0
118,0,3.7777591549707723,2.0,-9.069124124999998,-0.15573646624590165,2.077668375,18.0
119,0,3.449247308115844,2.0,-12.356532773000003,-0.21033714669672135,1.815050637,16.0
120,0,4.520099884580493,2.0,13.050574545999998,0.21233988548633861,2.828652209,17.0
121,0,4.5215577029141665,2.0,-17.799079237500003,-0.29656080624590164,2.026888375,14.0
122,0,2.6042768006784875,2.0,-5.067184349499995,-0.08630904293442615,1.525636809,15.0
123,0,4.711148598963904,2.0,10.326081851999978,0.16890024703551876,2.333541744,10.0
124,0,2.7725414649586617,2.0,5.606878688499999,0.10700731616666669,2.595133712,20.0
125,0,2.398297443827804,2.0,20.668060807,0.3375813374562841,1.797366455,20.0
126,0,2.8974640285137045,2.0,15.770546500499995,0.26115474578688536,1.832034679,23.0
127,0,4.300078123622129,2.0,5.021479661500005,0.0819415140956285,2.499577514,17.0
128,0,4.287376949733464,2.0,-10.591738311500002,-0.18006730700819668,2.445935373,18.0
129,0,3.3765312177835742,2.0,-19.066731073499998,-0.3213844590792348,2.106467586,21.0
130,0,2.8379992409962496,3.0,-3.1163408794999983,-0.05526708546721309,1.815092464,16.0
131,0,2.973775826413983,1.0,8.245057753000001,0.13547036861748635,2.249124814,20.0
132,0,1.1828635466616795,4.0,101.93621982799999,1.691819504573771,1.163722233,14.0
133,0,3.008504159068792,2.0,-15.703611285500006,-0.2636965948907105,1.518211976,17.0
134,0,3.72147326247768,2.0,-8.636157046000005,-0.13008589696174871,1.758558585,16.0
135,1,2.759438884280463,10.0,46.028584516,0.7545669592786884,3.455287652,12.0
136,0,2.7677063949154532,2.0,-4.819700776000003,-0.07275746798360663,1.584308378,18.0
137,0,3.995370874168067,3.0,-7.717524468999997,-0.11879977345901634,1.821426014,15.0
138,0,2.647134294537927,3.0,-10.247054282000004,-0.1663838832759563,1.413802411,15.0
139,1,4.153509355849463,5.0,-52.34693707599998,-0.8747463626448083,1.861056676,6.0
140,1,4.726233063343213,6.0,-62.14105181750005,-1.022683375819673,0.519369614,1.0
